Fecha,Contagios,Muertos,Recuperados_tot,Recuperados,Activos,Contagios_tot,Muertos_tot,Activos_tot
2020-03-05,1,0,,,,1,0,
2020-03-06,1,0,,,,2,0,
2020-03-07,7,0,,,,9,0,
2020-03-08,3,0,,,,12,0,
2020-03-09,5,1,,,,17,1,
2020-03-10,2,0,,,,19,1,
2020-03-11,2,0,,,,21,1,
2020-03-12,10,0,,,,31,1,
2020-03-13,3,0,,,,34,1,
2020-03-14,11,1,,,,45,2,
2020-03-15,11,0,,,,56,2,
2020-03-16,9,0,,,,65,2,
2020-03-17,13,0,,,,78,2,
2020-03-18,19,0,,,,97,2,
2020-03-19,31,1,18.0,,,128,3,107.0
2020-03-20,30,0,23.0,5.0,25.0,158,3,132.0
2020-03-21,67,1,27.0,4.0,62.0,225,4,194.0
2020-03-22,40,0,32.0,5.0,35.0,265,4,229.0
2020-03-23,36,0,52.0,20.0,16.0,301,4,245.0
2020-03-24,84,2,63.0,11.0,71.0,385,6,316.0
2020-03-25,117,2,72.0,9.0,106.0,502,8,422.0
2020-03-26,87,4,76.0,4.0,79.0,589,12,501.0
2020-03-27,101,5,78.0,2.0,94.0,690,17,595.0
2020-03-28,55,2,91.0,13.0,40.0,745,19,635.0
2020-03-29,75,2,228.0,137.0,-64.0,820,21,571.0
2020-03-30,146,4,240.0,12.0,130.0,966,25,701.0
2020-03-31,88,3,248.0,8.0,77.0,1054,28,778.0
2020-04-01,79,5,256.0,8.0,66.0,1133,33,844.0
2020-04-02,132,5,266.0,10.0,117.0,1265,38,961.0
2020-04-03,88,5,279.0,13.0,70.0,1353,43,1031.0
2020-04-04,98,2,280.0,1.0,95.0,1451,45,1126.0
2020-04-05,103,4,325.0,45.0,54.0,1554,49,1180.0
2020-04-06,74,5,338.0,13.0,56.0,1628,54,1236.0
2020-04-07,87,6,358.0,20.0,61.0,1715,60,1297.0
2020-04-08,80,5,365.0,7.0,68.0,1795,65,1365.0
2020-04-09,99,14,375.0,10.0,75.0,1894,79,1440.0
2020-04-10,81,3,,,,1975,82,
